Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
VcPZ6y4XblA,Let's Talk About Love (Jessie Farrell Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",68,1.1575,0,446,3.14
rla42H9Bqrk,You Shook Me All Night Long (AC/DC Cover) - Dead Dogs 50's Party,"Jul 28, 2016",68,1.2574,0,214,2.8
ZmHewS6KB9E,Footloose (Kenny Loggins Cover) - Dead Dogs 2016 Christmas Party,"Jan 29, 2017",66,2.1176,0,235,2.13
4crcbFU3uvo,We Will Rock You (Queen Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",64,1.5239,0,452,7.74
rn6OUi4GRmw,My Sharona (The Knack Cover) - Dead Dogs Camilla's Degree Party,"Oct 18, 2016",63,2.5596,0,196,3.06
xoe8BshKfME,These Boots Are Made for Walkin' (Nancy Sinatra Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",63,1.1065,1,364,6.87
EXerf45LWZg,Rock Around The Clock (Bill Haley & His Comets Cover) - Dead Dogs Camilla's Degree Party,"Oct 18, 2016",61,1.4589,0,259,5.02
6Ivs22lffSI,Get Over It (Eagles Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",59,1.097,0,1116,3.05
aXXirYDMsnM,Still Standing Tall (Brady Seals Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",59,1.3467,0,622,2.89
49Ig-4tGcBw,Time Warp & I Saw Her Standing There (TRHPS & The Beatles Covers) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",57,1.4867,0,387,4.65
NHxaRrpDMfI,Waterloo (Abba Cover) - Dead Dogs 2016 Christmas Party,"Jan 29, 2017",57,1.8028,0,385,0.78
dCsMB4Ez_Cs,High Voltage (AC/DC Cover) - Dead Dogs 2019 1st Palco Aperto Event,"Nov 23, 2019",57,1.4961,0,373,4.56
QWXRYj2sDBI,Rock And Roll (Led Zeppelin Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",54,1.4236,0,463,5.4
XtoK00nCDdg,One (U2 Cover) - Dead Dogs 50's Party,"Jul 28, 2016",54,1.3581,0,119,5.04
Rhia6hieDrQ,Take It Easy (Eagles Cover) - Dead Dogs Camilla's Degree Party,"Oct 18, 2016",52,2.2851,0,192,6.77
UFIvZsxYdKI,Highway To Hell (AC/DC Cover) - Dead Dogs 2019 1st Palco Aperto Event,"Nov 23, 2019",52,1.8751,0,333,4.8
Y2XSVGiT0J4,Redneck Woman (Gretchen Wilson Cover) - Dead Dogs 2017 Rehearsals,"Aug 22, 2020",52,1.2342,0,973,1.54
iE9Gu5gPfuE,Rome Wasn't Built In A Day (Morcheeba Cover) - Dead Dogs Martina's 18th Birthday Party,"May 13, 2019",52,1.6516,0,397,6.3
YLk8ynchqYs,Let It Snow (Dean Martin Cover) - Dead Dogs 2016 Christmas Party,"Jan 24, 2017",51,0.9993,0,269,2.23
bWEQPuZ3guM,Kiss (Prince Cover) - Dead Dogs Martina's 18th Birthday Party,"May 13, 2019",51,1.3605,1,499,3.41
bnZmxd7qQ9g,Crazy Little Thing Called Love (Queen Cover) - Dead Dogs 2016 Christmas Party,"Jan 24, 2017",51,1.4912,0,171,2.92
XtN4NMFBKcY,Man! I Feel Like A Woman (Shania Twain Cover) - Dead Dogs Martina's 18th Birthday Party,"May 13, 2019",49,1.0296,0,638,3.29
7zvBvlBjfdA,Footloose (Kenny Loggins Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",48,1.4152,0,265,1.89
NxKYJIFQ6bw,Honey Don't (Carl Perkins Cover) - Dead Dogs 2014 Rehearsals,"Aug 23, 2020",48,1.1397,1,350,4.57
ZNPidYs-Gx0,Rag Doll (Aerosmith Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",48,1.179,0,670,4.48
jBkTFCwiXJw,Man! I Feel Like A Woman (Shania Twain Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",48,1.2228,0,593,1.52
9yn7hpSjvoY,Rome Wasn't Built In A Day (Morcheeba Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",47,1.2433,0,334,7.19
SHNlxTAWMzo,Sweet Home Alabama (Lynyrd Skynyrd Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",47,1.369,0,169,1.78
KfPB2Oy17D4,You Shook Me All Night Long (AC/DC Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",46,0.9553,0,465,4.73
NDkenD6Wgio,Run Run Rudolph (Kelly Clarkson Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",46,0.7712,0,845,2.37
Xt0zcJIUvNY,Whole Lotta Shakin' Goin' On (Jerry Lee Lewis Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",45,1.3498,0,521,3.07
4L-hME5a24g,You Shook Me All Night Long (AC/DC Cover) - Dead Dogs 2019 1st Palco Aperto Event,"Nov 23, 2019",44,1.0881,0,205,6.34
8ai_Bsy1Ok0,Kiss (Prince Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",44,1.1316,0,660,2.42
uUdFEMoerQo,Santa Claus Is Coming To Town (J.F. Coots & H. Gillespie Cover) - Dead Dogs 2016 Christmas Party,"Jan 24, 2017",44,0.5511,0,306,1.96
8TD2KAEC0tE,Sex Machine (James Brown Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",41,0.477,0,3584,0.7
WiSUKa4LSP4,You Shook Me All Night Long (AC/DC Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",40,0.9842,0,336,5.36
IW-9FfTmykQ,Don't Stop Me Now (Queen Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",39,0.9172,0,315,7.3
eGP4c3iIVqs,Kiss (Prince Cover) - Dead Dogs 2019 1st Palco Aperto Event,"Nov 23, 2019",39,1.0923,0,330,3.64
6pvkl7bRTJA,I Love Rock n' Roll (Joan Jett & the Blackhearts Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",38,0.5826,0,648,3.55
f_Ww29I389E,Cocaine (Eric Clapton Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",38,0.5766,0,541,4.25
 -gqV7wsyVOA,One Love (Bob Marley & The Wailers Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",37,0.8087,0,396,4.04
4qBMvOjN1es,Crazy Little Thing Called Love (Queen Cover) - Dead Dogs Camilla's Degree Party,"Jul 28, 2017",37,0.944,0,171,2.34
5A2A97hcDLI,It Happens (Sugarland Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",37,0.6461,0,146,4.79
GGch5H0qN2E,Sweet Home Alabama (Lynyrd Skynyrd Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",37,0.9408,0,373,4.83
RwXh54-8Wxk,Proud Mary (Tina Turner Cover) - Dead Dogs 2019 1st Palco Aperto Event,"Nov 23, 2019",37,1.2887,0,570,2.11
PbWsnBALnug,I Love Rock n' Roll (Joan Jett & the Blackhearts Cover) - Dead Dogs 2019 1st Palco Aperto Event,"Nov 23, 2019",36,0.5956,0,366,4.92
SBPFoFFtv3Q,Sweet Home Alabama (Lynyrd Skynyrd Cover) - Dead Dogs Martina's 18th Birthday Party,"May 13, 2019",35,0.9485,0,408,2.94
lgtMTSV79XI,Chelsea Dagger (The Fratellis Cover) - Dead Dogs 2019 1st Palco Aperto Event,"Nov 23, 2019",35,1.0491,1,259,2.7
mp2PFl-7olA,You Shook Me All Night Long (AC/DC Cover) - Dead Dogs Camilla's Degree Party,"Oct 18, 2016",35,0.9933,0,191,2.09
Nl-XLKyzdcY,Are You Gonna Be My Girl (Jet Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",34,1.0097,0,371,3.23
UvVhLo9vE5c,Highway To Hell (AC/DC Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",33,0.8889,0,619,1.78
eQnRBf-QE-0,Redneck Woman (Gretchen Wilson Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",33,0.632,0,527,3.04
AtsZkhy7Nqs,Knock On Wood (Eddie Floyd Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",32,0.5079,0,290,5.86
5C6jf-v18oE,Winter Wonderland (F. Bernard & R.B. Smith Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",31,0.4643,0,365,5.21
93Qnnjhkz_U,Should I Stay Or Should I Go (The Clash Cover) - Dead Dogs 2016 Christmas Party,"Jan 24, 2017",31,0.7281,0,153,1.96
 -WEYYwkgsSQ,Eppur Mi Son Scordato Di Te (Lucio Battisti/Formula 3 Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",30,0.5918,0,457,2.63
2At0xhx2jTE,Life's Been Good (Joe Walsh Cover) - Dead Dogs 2002 Rehearsals,"Sep 4, 2020",30,1.9747,1,293,3.75
OLCn9-R1MbA,Proud Mary (Tina Turner Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",30,0.7211,0,756,2.65
h9ZjAwCiq64,Lonely Boy (The Black Keys Cover) - Dead Dogs 2019 1st Palco Aperto Event,"Nov 23, 2019",30,0.601,0,163,3.07
tJXsJJBvv9M,Chelsea Dagger (The Fratellis Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",30,0.3913,0,491,3.46
I4ZBUI1McHQ,Roxanne (The Police Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",29,0.6069,0,256,7.03
NsVQo5D94nE,Feliz Navidad (José Feliciano Cover) - Dead Dogs 2016 Christmas Party,"Dec 24, 2017",29,0.4445,0,493,2.03
Q0GzoHK_7L0,One Way Or Another (One Direction Cover) - Dead Dogs Martina's 18th Birthday Party,"May 13, 2019",29,0.4873,0,361,3.88
wQP7iXAhM14,You Shook Me All Night Long (AC/DC Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",29,0.7375,0,335,3.58
GO7oSF7Z1AU,Proud Mary (Tina Turner Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",28,0.7449,0,504,2.38
qglbEX8ijQI,Blue Christmas (Elvis Presley Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",28,0.5901,0,293,3.07
fdK09OJAiDk,Crazy Little Thing Called Love (Queen Cover) - Dead Dogs Martina's 18th Birthday Party,"May 13, 2019",27,0.5162,0,286,2.45
68Cnp21SGxI,Sunshine Of Your Love (Cream Cover) - Dead Dogs 50's Party,"Jul 28, 2017",26,0.9347,0,140,3.57
EOPKMGeUm1s,I Love Rock n' Roll (Joan Jett & the Blackhearts Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",26,0.5022,0,149,0.67
HfE866pZvyg,Please Come Home For Christmas (Eagles Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",26,0.3763,0,249,4.82
c_3HwYoAU5U,Let It Snow (Dean Martin Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",25,0.5484,0,277,4.69
oTvct8xRB3k,Should I Stay Or Should I Go (The Clash Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",25,0.475,0,295,5.08
wUmAY6SDRKA,Kiss (Prince Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",25,0.5352,0,519,2.89
4CMHxR5coh4,Call Me The Breeze (J.J. Cale Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",24,0.5076,0,158,3.16
LEk6wpigViU,Lonely Boy (The Black Keys Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",24,0.7243,0,334,5.39
dqhPzLTnh5U,Get Over It (Eagles Cover) - Dead Dogs 2017 Rehearsals,"Oct 27, 2020",24,0.8663,1,82,10.98
WKnG9910BXg,Should I Stay Or Should I Go (The Clash Cover) - Dead Dogs 2019 1st Palco Aperto Event,"Nov 23, 2019",23,0.707,0,291,3.09
kEX4m-bh8Ao,Rock And Roll (Led Zeppelin Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",23,0.4573,0,247,5.26
g9c3erJc0ks,High Voltage (AC/DC Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",22,0.6215,0,260,1.92
ndYrvDzcOwM,Gold On The Ceiling (The Black Keys Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",22,0.3648,0,370,4.32
oCdLhVhKZoI,Crazy Little Thing Called Love (Queen Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",22,0.2426,0,133,3.01
AqISKUlCm-U,Should I Stay Or Should I Go (The Clash Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",20,0.3604,0,147,5.44
MgKqoVw7584,I Love Rock n' Roll (Joan Jett & the Blackhearts Cover) - Dead Dogs Martina's 18th Birthday Party,"May 13, 2019",20,0.2378,0,201,3.98
nowhyWc-dlQ,You Shook Me All Night Long (AC/DC Cover) - Dead Dogs Martina's 18th Birthday Party,"May 13, 2019",20,0.5135,0,270,2.22
8d4fPxTYEC4,Come Together (The Beatles Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",19,0.4161,0,269,2.23
Gn0XyGu_SvI,Rock And Roll (Led Zeppelin Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",19,0.3796,0,263,3.04
d-qtkWVm0QA,Are You Gonna Be My Girl (Jet Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",19,0.3781,0,173,4.05
fffT48nEfpA,Lonely Boy (The Black Keys Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",19,0.515,0,269,2.6
I4ybAEEFp94,These Boots Are Made For Walkin' (Nancy Sinatra Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",18,0.2674,0,346,2.89
Xw5dEfLk7bo,Here Comes The Sun (The Beatles Cover) - Dead Dogs 2014 Rehearsals,"Sep 20, 2020",18,0.5537,0,225,2.22
mBJ6MXfnalc,Should I Stay Or Should I Go (The Clash Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",18,0.4395,0,166,3.01
3T802FZiFvs,I Love Rock n' Roll (Joan Jett & the Blackhearts Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",15,0.1968,0,277,2.17
jHchlbZEVGk,Kiss (Prince Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",15,0.3641,0,447,2.01
 -UD3-En-BgU,Should I Stay Or Should I Go (The Clash Cover) - Dead Dogs Martina's 18th Birthday Party,"May 13, 2019",14,0.3291,0,134,3.73
ifPKBO_1Fls,Jingle Bell Rock (Bobby Helms Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",13,0.2515,0,311,2.25
uRukXVtsWRE,Knock On Wood (Eddie Floyd Cover) - Dead Dogs 2019 1st Palco Aperto Event,"Nov 23, 2019",10,0.3796,0,26,3.85
w5zZOVhfIYE,Chelsea Dagger (The Fratellis Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",9,0.2439,0,181,1.1
